iter	Passed	Remaining
1517	13883	13554
1518	13892	13545
1519	13902	13536
1520	13911	13527
1521	13921	13518
1522	13930	13510
1523	13940	13501
1524	13949	13492
1525	13959	13484
1526	13969	13475
1527	13978	13466
1528	13988	13458
1529	13997	13448
1530	14007	13439
1531	14017	13431
1532	14026	13422
1533	14036	13414
1534	14045	13404
1535	14054	13395
1536	14063	13386
1537	14073	13377
1538	14083	13369
1539	14092	13360
1540	14100	13350
1541	14109	13341
1542	14118	13331
1543	14127	13322
1544	14136	13313
1545	14145	13303
1546	14155	13294
1547	14163	13284
1548	14172	13275
1549	14182	13267
1550	14190	13257
1551	14199	13248
1552	14209	13239
1553	14221	13233
1554	14231	13224
1555	14241	13216
1556	14250	13207
1557	14259	13198
1558	14270	13190
1559	14279	13181
1560	14289	13172
1561	14298	13163
1562	14308	13155
1563	14318	13146
1564	14329	13138
1565	14339	13130
1566	14348	13121
1567	14358	13112
1568	14367	13103
1569	14376	13094
1570	14385	13084
1571	14394	13075
1572	14403	13066
1573	14413	13058
1574	14422	13048
1575	14431	13039
1576	14441	13031
1577	14450	13021
1578	14458	13011
1579	14468	13003
1580	14477	12993
1581	14486	12984
1582	14495	12975
1583	14505	12966
1584	14514	12957
1585	14523	12948
1586	14533	12939
1587	14543	12931
1588	14551	12921
1589	14561	12913
1590	14585	12916
1591	14593	12906
1592	14601	12896
1593	14610	12887
1594	14620	12878
1595	14628	12868
1596	14638	12860
1597	14649	12852
1598	14658	12843
1599	14668	12835
1600	14678	12826
1601	14686	12816
1602	14695	12807
1603	14704	12797
1604	14714	12789
1605	14724	12780
1606	14733	12771
1607	14742	12762
1608	14751	12752
1609	14761	12744
1610	14770	12735
1611	14779	12725
1612	14789	12717
1613	14798	12707
1614	14808	12699
1615	14817	12690
1616	14827	12681
1617	14837	12673
1618	14846	12663
1619	14854	12654
1620	14864	12645
1621	14873	12635
1622	14883	12627
1623	14892	12618
1624	14901	12608
1625	14910	12599
1626	14919	12590
1627	14929	12581
1628	14937	12571
1629	14946	12562
1630	14955	12553
1631	14965	12544
1632	14975	12536
1633	14984	12527
1634	14994	12518
1635	15003	12508
1636	15011	12499
1637	15022	12490
1638	15030	12481
1639	15039	12471
1640	15047	12461
1641	15055	12451
1642	15065	12442
1643	15076	12434
1644	15084	12425
1645	15106	12426
1646	15113	12415
1647	15121	12405
1648	15129	12395
1649	15137	12385
1650	15146	12375
1651	15154	12366
1652	15164	12356
1653	15173	12347
1654	15182	12338
1655	15190	12328
1656	15200	12319
1657	15209	12310
1658	15221	12304
1659	15232	12296
1660	15242	12287
1661	15253	12280
1662	15264	12272
1663	15275	12264
1664	15286	12257
1665	15297	12249
1666	15309	12242
1667	15320	12234
1668	15332	12227
1669	15345	12221
1670	15357	12214
